match_duration, first_dragon, first_baron, first_inhibitor, first_rift_herald, first_blood, bteam_baron_kills, bteam_dragon_kills, bteam_inhibitor_kills, bteam_rift_kills, bteam_tower_kills,bteam_largest_killing_spree, bteam_largest_multi_kill, bteam_highest_champ_lvl, bteam_best_kda, bteam_total_kills, bteam_total_assists, bteam_total_gold_earned, bteam_total_gold_spent, bteam_vision_score, bteam_wards_placed, bteam_wards_killed, bteam_total_minions_killed, bteam_total_dmg_dealt, bteam_total_dmg_dealt_to_champions, bteam_total_dmg_taken, bteam_total_dmg_healed, bteam_total_dmg_self_mitigated, bteam_total_crowd_control_dealt, rteam_baron_kills, rteam_dragon_kills, rteam_inhibitor_kills, rteam_rift_kills, rteam_tower_kills, rteam_largest_killing_spree, rteam_largest_multi_kill, rteam_highest_champ_lvl, rteam_best_kda, rteam_total_kills, rteam_total_assists, rteam_total_gold_earned, rteam_total_gold_spent, rteam_vision_score, rteam_wards_placed, rteam_wards_killed, rteam_total_minions_killed, rteam_total_dmg_dealt, rteam_total_dmg_dealt_to_champions, rteam_total_dmg_taken, rteam_total_dmg_healed, rteam_total_dmg_self_mitigated, rteam_total_crowd_control_dealt, winning_team
1462,1,1,1,0,0,0,0,0,1,4,3,2,14,2.0,18,28,44567,40010,111,52,13,596,509967,62266,116809,28390,63821,1680,1,3,2,0,7,15,4,17,10.5,29,57,53609,49883,136,54,14,578,569636,88465,90872,34702,55285,694,1
946,1,1,1,0,0,0,0,0,1,1,0,1,13,2.0,5,2,25424,20285,66,34,16,401,233934,17025,35760,7479,25196,485,0,2,0,0,1,5,2,12,8.0,15,18,29930,25650,76,45,10,387,263633,22764,26781,6531,16061,577,1
1212,0,1,1,1,0,0,2,0,0,4,5,2,13,7.0,16,18,36974,33183,80,37,18,456,376038,44430,47939,16054,27663,627,0,0,0,1,3,2,1,12,3.0,8,11,34426,30750,119,54,16,516,338723,27746,62553,19491,30204,916,0
1379,1,1,1,0,1,0,0,0,1,1,2,2,14,2.5,10,15,39855,38188,112,56,15,564,424359,45327,85993,16898,53580,643,1,3,1,1,7,5,2,15,8.0,32,37,50608,46475,133,64,14,602,515763,66354,70355,17671,65883,1376,1
950,0,1,1,0,1,0,2,0,1,4,6,3,12,14.0,24,28,35406,26600,83,33,15,403,303510,49444,49136,19330,28145,723,0,0,0,0,0,2,1,11,1.6666666666666667,7,8,24889,22758,55,35,8,352,214482,28903,60210,8814,39386,650,0
1063,1,1,1,0,1,0,0,0,1,0,2,1,10,1.3333333333333333,4,5,25378,22958,67,37,9,342,225912,20437,45926,10337,24401,515,0,2,1,1,9,7,2,12,13.0,20,28,37298,27650,86,39,9,412,305042,33400,43110,8617,38086,850,1
1011,1,1,1,1,0,0,0,0,0,1,2,2,11,3.0,7,14,27378,25635,62,35,1,347,233200,22674,57499,17296,34505,423,0,1,0,1,4,4,3,12,9.0,14,19,33016,29070,74,33,6,405,303641,36248,37629,15414,22376,523,1
1653,1,0,0,1,1,1,2,1,0,9,9,2,17,19.0,31,53,57456,52133,184,88,22,623,664634,92168,91851,22169,75838,1437,0,1,0,1,0,3,1,15,3.25,22,31,45596,44335,160,65,29,588,453534,63219,110122,19434,83835,1168,0
1383,0,1,0,0,1,0,3,2,1,10,5,2,15,22.0,34,51,51838,44275,136,59,18,530,486468,70223,81171,26609,58555,617,0,0,0,0,0,2,2,14,2.2,16,25,38815,40450,94,44,18,463,352040,51484,87577,19358,62797,1240,0
1543,0,1,0,0,1,0,4,1,2,7,5,2,15,9.5,25,48,50110,43058,147,64,28,600,519557,80520,92010,29530,89404,1348,0,0,0,0,3,5,2,13,5.333333333333333,20,46,48922,45550,141,63,19,558,407516,65278,97138,28566,67264,484,0
2206,1,1,1,1,1,1,2,0,0,5,5,3,18,2.625,32,59,70992,66690,211,101,21,821,876346,118510,168005,53411,133817,1990,1,3,4,2,11,8,3,18,8.333333333333334,46,72,75872,69980,240,83,34,697,856053,134551,159573,52725,132785,835,1
941,0,1,1,1,1,0,1,0,0,3,5,2,12,9.0,19,27,31745,26645,60,29,6,387,271987,40862,51014,26426,25768,676,0,0,0,1,0,2,2,10,4.0,9,10,23279,21275,48,24,6,297,186023,33279,46273,8061,31133,606,0
1502,0,0,0,0,0,1,3,1,1,7,9,2,15,14.0,23,32,49881,46413,159,66,23,600,541518,57432,69719,17895,56040,814,0,1,0,0,2,2,1,14,7.0,13,18,41897,41105,130,62,23,607,459151,45266,74983,16901,46549,999,0
1428,1,1,1,0,0,0,0,0,2,2,3,3,14,3.0,15,22,41169,39725,120,61,17,554,382645,45196,87261,23723,53555,792,1,3,0,0,5,7,5,15,15.0,24,40,48177,41735,138,71,22,600,515456,69282,66857,15425,57283,798,1
